Month,T2M
201404,-4.82
201405,-0.53
201406,8.18
201407,8.32
201408,11.34
201409,4.87
201410,-5.11
201411,-7.56
201412,-13.46
201413,-4.17
201501,-23.66
201502,-14.5
201503,-6.14
201504,-4.04
201505,4.18
201506,11.05
201507,8.28
201508,9.24
201509,5.88
201510,-2.9
201511,-11.01
201512,-13.75
201513,-3.06
201601,-20.44
201602,-9.49
201603,-10.6
201604,-2.25
201605,4.06
201606,9.31
201607,17.38
201608,13.46
201609,8.53
201610,1.46
201611,-12.29
201612,-19.72
201613,-1.7
201701,-18.87
201702,-15.84
201703,-4.84
201704,-7.35
201705,-2.58
201706,5.98
201707,16.58
201708,11.35
201709,4.44
201710,-0.93
201711,-8.46
201712,-10.71
201713,-2.51
201801,-12.46
201802,-17.32
201803,-16.92
201804,-5.53
201805,-0.18
201806,7.74
201807,15.27
201808,10.91
201809,7.99
201810,-0.45
201811,-10.4
201812,-9.76
201813,-2.5
201901,-20.07
201902,-15.41
201903,-8.74
201904,-4.36
201905,0.72
201906,7.08
201907,12.16
201908,9.3
201909,6.65
201910,-2.51
201911,-11.97
201912,-12.19
201913,-3.21
202001,-13.66
202002,-10.47
202003,-5.7
202004,-3.8
202005,3.16
202006,8.62
202007,15.76
202008,11.52
202009,7.62
202010,-0.39
202011,-5.76
202012,-16.69
202013,-0.79
202101,-26.48
202102,-23.29
202103,-11.38
202104,-1.81
202105,4.46
202106,10.51
202107,11.74
202108,11.53
202109,4.21
202110,-1.05
202111,-11.36
202112,-18.47
202113,-4.18
202201,-15.69
202202,-12.07
202203,-11.96
202204,-5.54
202205,1.62
202206,9.49
202207,16.51
202208,14.24
202209,5.08
202210,1.14
202211,-9.7
202212,-17.61
202213,-1.98
202301,-13.04
202302,-12.77
202303,-10.84
202304,-5.14
202305,4.9
202306,7.44
202307,16
202308,14.17
202309,9.31
202310,-1.99
202311,-12.62
202312,-17.7
202313,-1.78
202401,-15.85
202402,-15.84
202403,-12.02
202404,-9.18
202405,-2.97
202406,6.09
202407,14.39
202408,12.13
202409,10.38
202410,0.25
202411,-7.29
202412,-11.35
202413,-2.56
