Month,T2M
201409,7.02
201410,-2.23
201411,-4.77
201412,-11.59
201413,-1.17
201501,-17.7
201502,-10.91
201503,-4.29
201504,-2.02
201505,8.16
201506,11.41
201507,10.07
201508,10.59
201509,8.42
201510,0.92
201511,-6.84
201512,-9.68
201513,-0.1
201601,-19.92
201602,-7.29
201603,-7.15
201604,-0.44
201605,8.01
201606,10.64
201607,17.47
201608,14.81
201609,8.46
201610,2.02
201611,-9.98
201612,-12.24
201613,0.39
201701,-14.33
201702,-11.32
201703,-4.08
201704,-4.98
201705,-1.47
201706,7.13
201707,16.86
201708,14.05
201709,6.46
201710,0.73
201711,-5.04
201712,-9.04
201713,-0.34
201801,-10.01
201802,-15.28
201803,-13.4
201804,-2.56
201805,3.83
201806,9.48
201807,17.35
201808,13.07
201809,9.38
201810,1.83
201811,-4.15
201812,-10.65
201813,0
201901,-16.65
201902,-11.36
201903,-6.97
201904,-2.43
201905,4.56
201906,9.26
201907,12.21
201908,10.04
201909,8.29
201910,-0.98
201911,-7.9
201912,-8.94
201913,-0.85
202001,-11.18
202002,-8.46
202003,-4.54
202004,-2.79
202005,2.92
202006,10.39
202007,16.25
202008,11.76
202009,8.56
202010,1.49
202011,-2.46
202012,-12.75
202013,0.79
202101,-21.1
202102,-21.62
202103,-9.6
202104,0.27
202105,6.29
202106,13.32
202107,13.19
202108,12.27
202109,5.23
202110,1.32
202111,-8.17
202112,-17.34
202113,-2.05
202201,-12.72
202202,-10.16
202203,-8.48
202204,-3.35
202205,3.57
202206,11.92
202207,18
202208,15.73
202209,6.49
202210,3.16
202211,-5.73
202212,-13.9
202213,0.44
202301,-11.49
202302,-11.05
202303,-9.17
202304,-4.17
202305,6.44
202306,8.65
202307,16.02
202308,15.1
202309,11.25
202310,0.76
202311,-9.44
202312,-16.8
202313,-0.26
202401,-13.12
202402,-12.97
202403,-7.23
202404,-5.6
202405,-0.27
202406,12.82
202407,15.72
202408,14.36
202409,12.39
202410,2.33
202411,-3.86
202412,-10.12
202413,0.4
